Bus,X,Y
mv_f0_n581,4160.047805,2399.627603
mv_f0_n582,4029.440121,3279.385498
mv_f0_n583,1949.73692,4654.394292
mv_f0_n584,3477.767234,5076.320649
mv_f0_n585,1951.502766,4810.627877
mv_f0_n586,4029.513773,3279.540003
mv_f0_n587,3129.613528,3855.460354
mv_f0_n588,2820.410041,6250.514184
mv_f0_n589,3076.775824,5748.065344
mv_f0_n590,4297.656863,2472.276218
mv_f0_n591,3886.99063,6137.050963
mv_f0_n592,2456.008419,2389.159946
mv_f0_n593,2613.727033,1147.348539
mv_f0_n594,4907.334003,4352.955144
mv_f0_n595,5753.382968,3056.382689
mv_f0_n596,1495.284092,4661.51903
mv_f0_n597,3326.855931,771.018829
mv_f0_n598,2588.683803,4132.86549
mv_f0_n599,2772.425951,6321.9470010000005
mv_f0_n600,7376.961406,3783.409995
mv_f0_n601,3436.034822,452.612109
mv_f0_n602,6195.182171,1969.607775
mv_f0_n603,3060.776651,3854.483439
mv_f0_n604,6456.405486,2856.305034
mv_f0_n605,7162.51457,4035.353018
mv_f0_n606,4156.62133,2397.542267
mv_f0_n607,7162.51054,4035.350265
mv_f0_n608,3361.612517,4700.774566
mv_f0_n609,1496.977406,4698.517395
mv_f0_n610,2740.238214,6369.863745
mv_f0_n611,3315.113547,4700.832546
mv_f0_n612,3237.324762,605.754616
mv_f0_n613,3152.66534,5602.028302
mv_f0_n614,3309.862797,3867.123079
mv_f0_n615,3635.096799,6314.046173
mv_f0_n616,2954.696244,3123.257273
mv_f0_n617,2399.096151,2373.07163
mv_f0_n618,1844.264783,4830.457685
mv_f0_n619,3269.956871,840.913556
mv_f0_n620,3251.325942,668.228551
mv_f0_n621,3616.533253,3758.078573
mv_f0_n622,4607.220325,4334.19829
mv_f0_n623,3193.977109,805.39173
mv_f0_n624,1519.318671,4717.816475
mv_f0_n625,3713.465842,6138.433178
mv_f0_n626,3298.205678,2290.652893
mv_f0_n627,4077.046746,326.972684
mv_f0_n628,4493.357956,5071.207646
mv_f0_n629,2362.132705,1827.927161
mv_f0_n630,3608.649628,3672.544146
mv_f0_n631,4534.935229,5078.310771
mv_f0_n632,2562.788151,4957.18026
mv_f0_n633,3572.773717,3783.348945
mv_f0_n634,2706.299406,5037.436078
mv_f0_n635,3793.075096,6138.869971
mv_f0_n636,3790.018221,6484.455868
mv_f0_n637,4031.072768,6248.848636
mv_f0_n638,3391.723908,5902.645042
mv_f0_n639,1778.162862,4842.681423
mv_f0_n640,3368.304481,5938.30858
mv_f0_n641,4948.839443,2974.122909
mv_f0_n642,6731.53621,2725.131205
mv_f0_n643,3249.452864,659.79408
mv_f0_n644,8133.735025,4141.211863
mv_f0_n645,3091.079418,2460.210703
mv_f0_n646,2451.716006,2307.647931
mv_f0_n647,3609.244661,3712.040186
mv_f0_n648,4063.123276,339.244206
mv_f0_n649,3269.158345,794.613935
mv_f0_n650,3264.915182,3832.211339
mv_f0_n651,4248.416668,4881.342908
mv_f0_n652,3524.665914,5000.264737
mv_f0_n653,1558.96357,4752.0616
mv_f0_n654,3272.859279,4921.496324
mv_f0_n655,3241.261649,623.256316
mv_f0_n656,2464.431642,2269.186542
mv_f0_n657,1592.70784,4557.236819
mv_f0_n658,3363.45694,4366.851718
mv_f0_n659,3901.475162,3593.157867
mv_f0_n660,3301.941339,1273.29292
mv_f0_n661,4618.236238,3092.574096
mv_f0_n662,3444.264542,3865.949227
mv_f0_n663,1612.636514,4796.788958
mv_f0_n664,3454.100717,4015.08917
mv_f0_n665,7781.365328,4207.375214
mv_f0_n666,3283.562705,4922.177832
mv_f0_n667,5063.889863,3094.967965
